device,model,seed,split,tag,name_cn,unit,r2,rmse,mae,bias,within_tolerance,train_min,train_max,samples
DEA,TCN,20260801,train,SYG1_10CBA00CBK00R107,#1汽机除氧器出口O2（汽水取样画面的除氧器出口溶解氧）,μg/L,0.037628948688507,3.858113936138496,0.927307903766632,0.0814597606658935,0.9977864327944184,0.0630000829696655,100.58699798583984,35689
DEA,TCN,20260801,val,SYG1_10LAA10CP101,#1 机除氧器压力 1,MPa,-0.1947609186172485,0.2078458128307563,0.0502323545515537,-0.0251814723014831,0.9721504772599664,0.2540000081062317,1.0740000009536743,8905
DEA,TCN,20260801,val,SYG1_10LAA10CP102,#1 机除氧器压力 2,MPa,-31.038864135742188,1.0725181296178958,0.1956054419279098,-0.1866998374462127,0.9677709152161706,0.2520000040531158,1.065000057220459,8905
DEA,TCN,20260801,val,SYG1_10LAA10CT101,#1 机除氧器温度 1,℃,0.015659749507904,9.55428385096367,3.006030559539795,-0.7592946290969849,0.190791690061763,140.25601196289062,186.7330017089844,8905
DEA,TCN,20260801,val,SYG1_10LAA10CT102,#1 机除氧器温度 2,℃,-4.299224376678467,22.057483135114477,5.041660785675049,2.204627513885498,0.2689500280741156,140.12599182128906,186.6000061035156,8905
DEA,TCN,20260801,val,SYG1_10LAA10CL101,#1 机除氧器液位 1,mm,-6.74913215637207,84.85827741648866,29.5322322845459,-7.703214645385742,0.4097697922515441,1799.865966796875,2373.44384765625,8905
DEA,TCN,20260801,val,SYG1_10LAA10CL102,#1 机除氧器液位 2,mm,-12.433541297912598,116.50514674790122,34.56047058105469,20.64097213745117,0.3947220662549129,1745.8189697265625,2377.288818359375,8905
DEA,TCN,20260801,val,SYG1_10LAA10CL103,#1 机除氧器液位 3,mm,-3.787808418273926,65.3148661353696,22.75333023071289,5.93736457824707,0.46692869174621,1803.925048828125,2460.60205078125,8905
DEA,TCN,20260801,val,SYG1_10LAA10CL101-SEL,#1 机除氧器液位三选,-,-5.20949125289917,74.31240801087662,25.22628402709961,-4.352071285247803,,1797.94287109375,2375.15283203125,8905
DEA,TCN,20260801,val,SYG1_10CBA00CBK00R107,#1汽机除氧器出口O2（汽水取样画面的除氧器出口溶解氧）,μg/L,-661.6646728515625,17.26588747679447,3.8225347995758057,3.672252893447876,0.970241437394722,0.0630000829696655,100.58699798583984,8905
DEA,TCN,20260801,test,SYG1_10LAA10CP101,#1 机除氧器压力 1,MPa,-1.5706989765167236,0.2392378351084529,0.027977954596281,0.0051375259645283,0.9956226694768048,0.2540000081062317,1.0740000009536743,43177
DEA,TCN,20260801,test,SYG1_10LAA10CP102,#1 机除氧器压力 2,MPa,-33.01387023925781,0.8595988588938854,0.0583922155201435,-0.0486521013081073,0.9924033629015448,0.2520000040531158,1.065000057220459,43177
DEA,TCN,20260801,test,SYG1_10LAA10CT101,#1 机除氧器温度 1,℃,-0.7990518808364868,11.746558151985148,1.9947445392608645,-0.6881680488586426,0.3230423605160155,140.25601196289062,186.7330017089844,43177
DEA,TCN,20260801,test,SYG1_10LAA10CT102,#1 机除氧器温度 2,℃,-4.850159645080566,21.121924904466493,2.243312120437622,0.0583267025649547,0.4393079648887139,140.12599182128906,186.6000061035156,43177
