device,model,tag,name_cn,unit,seeds,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,tolerance_mean
DEA,GRU,SYG1_10LAA10CT102,#1 机除氧器温度 2,℃,3,0.9333112835884094,0.015595528726206169,2.2453079026407257,0.25779125106631146,1.787825385729472,0.23627298763319657,0.34258980475716233
DEA,TCN,SYG1_10CBA00CBK00R107,#1汽机除氧器出口O2（汽水取样画面的除氧器出口溶解氧）,μg/L,3,-941.2828928629557,1101.2837833751225,15.352324750232038,11.648626564988833,1.2978595892588298,0.5197268775446937,0.9957539121909041
DEA,TCN,SYG1_10LAA10CL101,#1 机除氧器液位 1,mm,3,-17.62600831190745,22.681796042438755,87.75410823393094,64.14528302720603,21.57496452331543,5.068935666771886,0.41671105758467086
DEA,TCN,SYG1_10LAA10CL101-SEL,#1 机除氧器液位三选,-,3,-27.842994054158527,35.57666223504989,96.85556184416428,66.99262410434659,17.697075525919598,3.544026454699949,
DEA,TCN,SYG1_10LAA10CL102,#1 机除氧器液位 2,mm,3,-31.87672034899394,37.46842553772097,114.74515480846192,82.43971897838367,21.298510869344074,5.292423084253539,0.43202013417637475
DEA,TCN,SYG1_10LAA10CL103,#1 机除氧器液位 3,mm,3,-33.534328619639076,49.52024841791259,99.55918854792397,90.23865451509221,19.47089958190918,4.41960294320122,0.46236808177193106
DEA,TCN,SYG1_10LAA10CP101,#1 机除氧器压力 1,MPa,3,-17.75214385986328,27.656353465591852,0.5199907802968885,0.46975378345717017,0.04671616479754443,0.025425277490998197,0.9950436575028371
DEA,TCN,SYG1_10LAA10CP102,#1 机除氧器压力 2,MPa,3,-43.52399126688639,45.38456868170625,0.8767597192410627,0.5456953819817695,0.05758079389731088,0.025018766980427144,0.9897785086195583
DEA,TCN,SYG1_10LAA10CT101,#1 机除氧器温度 1,℃,3,-48.7815270225207,84.07766361189485,41.70297643342655,55.842842747231245,3.3543482224146524,2.8528610296327064,0.4020659147231165
DEA,TCN,SYG1_10LAA10CT102,#1 机除氧器温度 2,℃,3,-65.74451502164204,107.1884602534197,52.94758674224406,58.564304297870535,3.8463637828826904,2.715128956911203,0.39802827122464896
DEA,iTransformer-small,SYG1_10CBA00CBK00R107,#1汽机除氧器出口O2（汽水取样画面的除氧器出口溶解氧）,μg/L,3,-31.47089385986328,5.728106400691146,3.3440878050836584,0.290577986470321,0.6782602071762085,0.03304683826029641,0.995993237140144
DEA,iTransformer-small,SYG1_10LAA10CL101,#1 机除氧器液位 1,mm,3,-3.2090811729431152,4.743161293086298,43.626308805222834,26.177342647676817,16.003835995992024,1.36230161445394,0.5393921146289306
DEA,iTransformer-small,SYG1_10LAA10CL101-SEL,#1 机除氧器液位三选,-,3,-1.1548463503519695,1.0537647486648043,29.84732375559533,7.090713899401658,12.721490859985352,0.6252948488080113,
DEA,iTransformer-small,SYG1_10LAA10CL102,#1 机除氧器液位 2,mm,3,-4.347838719685872,1.0349371769577413,53.48832970611911,5.153415598161067,16.02471923828125,0.310248266260722,0.5239209146845156
DEA,iTransformer-small,SYG1_10LAA10CL103,#1 机除氧器液位 3,mm,3,-2.755509893099467,1.7672465482641322,39.94657957836825,10.430423923591352,15.704085350036621,1.2185807501212584,0.4718329975063884
DEA,iTransformer-small,SYG1_10LAA10CP101,#1 机除氧器压力 1,MPa,3,-24.196693738301594,17.294200271794047,0.715478569272046,0.2713202278691266,0.07713987181584037,0.009655040307206663,0.9171704070840185
DEA,iTransformer-small,SYG1_10LAA10CP102,#1 机除氧器压力 2,MPa,3,-21.70649528503418,3.473281284443777,0.701001960320656,0.05292589546761975,0.07393647481997803,0.007214481343815229,0.9420524816453204
DEA,iTransformer-small,SYG1_10LAA10CT101,#1 机除氧器温度 1,℃,3,-20.960811456044514,16.336441869558325,38.61061460597707,17.03874150256498,5.2298665046691895,1.0700755271188003,0.16518053593348303
DEA,iTransformer-small,SYG1_10LAA10CT102,#1 机除氧器温度 2,℃,3,-46.7063357035319,4.762046408223911,60.265108291572325,3.0551427763940797,5.447407245635986,0.44192287324423174,0.235024820313284
H1,ANN,SYG1_10LAB61CT101,#1 高压给水加热器出口温度,℃,3,0.9960362116495768,0.0013401349885678265,0.8879648735139565,0.16180320405823778,0.6683220664660136,0.12966910458242792,0.7880275764102801
H1,ANN,SYG1_10LAD10CL101-CAL,#1 高压加热器水位 1,mm,3,0.355275293191274,0.0007008974282941496,11.994567155680057,0.0065204565062410005,9.650396982828775,0.01997592276079667,0.5855277887146706
H1,ANN,SYG1_10LAD10CL102-CAL,#1 高压加热器水位 2,mm,3,0.3242484927177429,0.017319832073814437,12.050659482919016,0.15482745267205178,9.613226890563963,0.12747924657353119,0.5926071751163814
H1,ANN,SYG1_10LAD10CL103-CAL,#1 高压加热器水位 3,mm,3,0.45894138018290204,0.002477718028127244,11.298239517971785,0.02588053165015624,9.010100682576498,0.012187027273841983,0.6249314835830805
H1,ANN,SYG1_10LAD10CP101,#1 高压加热器压力,MPa,3,0.996224602063497,0.0007995023970253002,0.08866291379291767,0.009735283880830942,0.06605883439381914,0.006729612073076782,0.7917486933629787
H1,ANN,SYG1_10LCH11CT101,#1 高加汽侧疏水温度,℃,3,0.9934961398442587,0.000367251474988704,1.095057613368745,0.030687554340645826,0.8626084725062052,0.02257405570896086,0.6491110236159684
H1,GRU,SYG1_10LAB61CT101,#1 高压给水加热器出口温度,℃,3,0.9977107842763265,0.00022543777086302602,0.6816790805479224,0.0339444385360686,0.513075570265452,0.02871329936932686,0.8782685225930472
H1,GRU,SYG1_10LAD10CL101-CAL,#1 高压加热器水位 1,mm,3,0.43976861238479614,0.005712137124413128,11.180916725302216,0.05704256379680245,8.960190455118815,0.027583828001192485,0.6230014436698551
H1,GRU,SYG1_10LAD10CL102-CAL,#1 高压加热器水位 2,mm,3,0.4431307911872864,0.00980340789976195,10.93972828286489,0.09652172416844683,8.669703801472982,0.06383130359407854,0.644826335008608
H1,GRU,SYG1_10LAD10CL103-CAL,#1 高压加热器水位 3,mm,3,0.5441176692644755,0.007566546887875003,10.370645840998542,0.08600713162163548,8.277350743611654,0.037579890077944655,0.6625363812523642
H1,GRU,SYG1_10LAD10CP101,#1 高压加热器压力,MPa,3,0.9974860151608785,0.0008185801157778928,0.07194363504811639,0.012294350490205328,0.0567911031345526,0.012311758214544131,0.8610448464074237
H1,GRU,SYG1_10LCH11CT101,#1 高加汽侧疏水温度,℃,3,0.9970100323359171,0.0007963022390323967,0.7385237386393303,0.09600778664766932,0.5594728887081146,0.10827886900278684,0.8473338428638705
