protocol,split,target_tag,name_cn,group,rows,min,max,mean,std
10d300d_expanded_2024,train,SYG1_10LBC01CP101,超高压缸A侧排汽垂直管压力,Y1_VHP本体,14400,3.177,10.9,7.449750625,2.3953415026111733
10d300d_expanded_2024,train,SYG1_10LBC02CP101,超高压缸B侧排汽垂直管压力,Y1_VHP本体,14400,3.186,10.961,7.490850138888889,2.410337638442309
10d300d_expanded_2024,train,SYG1_10LBC01CT101,超高压缸A侧排汽垂直管温度,Y1_VHP本体,14400,393.335,426.095,412.9837283333333,4.203125285239478
10d300d_expanded_2024,train,SYG1_10LBC02CT101,超高压缸B侧排汽垂直管温度,Y1_VHP本体,14400,396.326,429.216,415.8685634027778,4.219940644594041
10d300d_expanded_2024,train,SYG1_10LBQ10CP101,一级抽汽口压力,Y2_一级抽汽接口,14400,3.154,10.821,7.399663194444444,2.378889973555784
10d300d_expanded_2024,train,SYG1_10LBQ10CT101A,一级抽汽口温度,Y2_一级抽汽接口,14400,397.032,428.662,415.5969381944445,4.10490308512435
10d300d_expanded_2024,train,SYG1_10LBQ10CT102,一级抽汽逆止门前水平管管顶温度,Y2_一级抽汽接口,14400,393.759,424.251,412.27106972222225,4.0520034287408615
10d300d_expanded_2024,train,SYG1_10LBQ10CT103,一级抽汽逆止门前水平管管底温度,Y2_一级抽汽接口,14400,394.44,425.173,412.3792872916666,4.092011061749148
10d300d_expanded_2024,train,SYG1_10LBQ10CT104,一级抽汽逆止门后水平管管顶温度,Y2_一级抽汽接口,14400,394.34,423.629,411.9506465972222,3.978397371783619
10d300d_expanded_2024,train,SYG1_10LBQ10CT105,一级抽汽逆止门后水平管管底温度,Y2_一级抽汽接口,14400,393.715,424.307,411.77699777777775,4.0764514817486335
10d300d_expanded_2024,train,SYG1_10LBQ10CP102,1号高加入口抽汽压力,Y2_一级抽汽接口,14400,3.194,10.637,7.353627569444444,2.315876668175199
10d300d_expanded_2024,train,SYG1_10LBQ10CT106,1号高加入口抽汽温度,Y2_一级抽汽接口,14400,394.485,423.818,412.1746515972222,3.9459696818140984
10d300d_expanded_2024,train,SYG1_10LBC20CT101,一次低温再热逆止阀前母管管底温度,Y3_VHP至RH1接口,14400,395.903,426.629,414.30763243055554,4.092136573300736
10d300d_expanded_2024,train,SYG1_10LBC20CT103,一次低温再热逆止阀后水平管管顶温度,Y3_VHP至RH1接口,14400,395.177,426.095,413.4845890277778,4.088051350819259
10d300d_expanded_2024,train,SYG1_10LBC20CT104,一次低温再热逆止阀后水平管管底温度,Y3_VHP至RH1接口,14400,398.547,427.817,416.1920721527778,4.019520344190762
