task,split,algorithm,target_tag,name_cn,unit,group,r2,rmse,mae,train_actual_min,train_actual_max,actual_min,actual_max,pred_min,pred_max,samples,first_time,last_time
2025_10d训练_100d测试,train,TCN,SYG1_10LBQ10CT101A,一级抽汽口温度,℃,Y2_一级抽汽接口,0.9645350575447083,0.8833171111242732,0.6578163504600525,400.3775939941406,440.5112609863281,400.3775939941406,440.5112609863281,403.0982360839844,436.4579772949219,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,iTransformer-small,SYG1_10LBQ10CT101A,一级抽汽口温度,℃,Y2_一级抽汽接口,0.9459750652313232,1.0902200684929402,0.8272557258605957,400.3775939941406,440.5112609863281,400.3775939941406,440.5112609863281,402.52447509765625,435.6240539550781,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,ANN,SYG1_10LBQ10CT102,一级抽汽逆止门前水平管管顶温度,℃,Y2_一级抽汽接口,0.92128986120224,1.2962153032270318,0.9381396770477295,397.8882141113281,437.2167663574219,397.8882141113281,437.2167663574219,404.0660400390625,429.5151672363281,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,GRU-RNN,SYG1_10LBQ10CT102,一级抽汽逆止门前水平管管顶温度,℃,Y2_一级抽汽接口,0.9791359901428223,0.6673612453245764,0.500665009021759,397.8882141113281,437.2167663574219,397.8882141113281,437.2167663574219,401.04754638671875,434.28167724609375,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,TCN,SYG1_10LBQ10CT102,一级抽汽逆止门前水平管管顶温度,℃,Y2_一级抽汽接口,0.9677782654762268,0.8293469608399537,0.6341032981872559,397.8882141113281,437.2167663574219,397.8882141113281,437.2167663574219,400.9086608886719,432.9000549316406,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,iTransformer-small,SYG1_10LBQ10CT102,一级抽汽逆止门前水平管管顶温度,℃,Y2_一级抽汽接口,0.9494242072105408,1.039042078262074,0.7955381274223328,397.8882141113281,437.2167663574219,397.8882141113281,437.2167663574219,399.91668701171875,432.3377990722656,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,ANN,SYG1_10LBQ10CT103,一级抽汽逆止门前水平管管底温度,℃,Y2_一级抽汽接口,0.9262893199920654,1.2619748165713203,0.926936686038971,398.8587341308594,438.181640625,398.8587341308594,438.181640625,403.9476013183594,430.958251953125,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,GRU-RNN,SYG1_10LBQ10CT103,一级抽汽逆止门前水平管管底温度,℃,Y2_一级抽汽接口,0.97971111536026,0.6620864189016833,0.490752637386322,398.8587341308594,438.181640625,398.8587341308594,438.181640625,400.5081787109375,435.140869140625,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,TCN,SYG1_10LBQ10CT103,一级抽汽逆止门前水平管管底温度,℃,Y2_一级抽汽接口,0.9662947654724121,0.8533637917814754,0.6505621075630188,398.8587341308594,438.181640625,398.8587341308594,438.181640625,401.0043640136719,433.5830078125,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,iTransformer-small,SYG1_10LBQ10CT103,一级抽汽逆止门前水平管管底温度,℃,Y2_一级抽汽接口,0.9494736194610596,1.0448273517958506,0.7987357974052429,398.8587341308594,438.181640625,398.8587341308594,438.181640625,400.400146484375,433.06134033203125,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,ANN,SYG1_10LBQ10CT104,一级抽汽逆止门后水平管管顶温度,℃,Y2_一级抽汽接口,0.9213230013847351,1.2824412599760666,0.9391688108444214,398.7582702636719,437.79345703125,398.7582702636719,437.79345703125,403.95208740234375,430.02008056640625,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,GRU-RNN,SYG1_10LBQ10CT104,一级抽汽逆止门后水平管管顶温度,℃,Y2_一级抽汽接口,0.9784398674964905,0.6713347591754668,0.4981619417667389,398.7582702636719,437.79345703125,398.7582702636719,437.79345703125,401.24652099609375,434.81005859375,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,TCN,SYG1_10LBQ10CT104,一级抽汽逆止门后水平管管顶温度,℃,Y2_一级抽汽接口,0.9670712947845459,0.8296612219950491,0.6368832588195801,398.7582702636719,437.79345703125,398.7582702636719,437.79345703125,401.82550048828125,433.79010009765625,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,iTransformer-small,SYG1_10LBQ10CT104,一级抽汽逆止门后水平管管顶温度,℃,Y2_一级抽汽接口,0.9469369649887085,1.0531966233164216,0.8071854710578918,398.7582702636719,437.79345703125,398.7582702636719,437.79345703125,400.7978210449219,432.8563537597656,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,ANN,SYG1_10LBQ10CT105,一级抽汽逆止门后水平管管底温度,℃,Y2_一级抽汽接口,0.9241150617599487,1.2676418388353459,0.928260326385498,398.4236755371094,437.60491943359375,398.4236755371094,437.60491943359375,402.71771240234375,430.132568359375,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,GRU-RNN,SYG1_10LBQ10CT105,一级抽汽逆止门后水平管管底温度,℃,Y2_一级抽汽接口,0.9803546667098999,0.6449834913166731,0.4801819622516632,398.4236755371094,437.60491943359375,398.4236755371094,437.60491943359375,400.8740539550781,434.7654724121094,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,TCN,SYG1_10LBQ10CT105,一级抽汽逆止门后水平管管底温度,℃,Y2_一级抽汽接口,0.9667398929595947,0.8392290216505188,0.6446449160575867,398.4236755371094,437.60491943359375,398.4236755371094,437.60491943359375,401.56640625,432.7845458984375,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,iTransformer-small,SYG1_10LBQ10CT105,一级抽汽逆止门后水平管管底温度,℃,Y2_一级抽汽接口,0.9486290216445923,1.04298406582563,0.8006229400634766,398.4236755371094,437.60491943359375,398.4236755371094,437.60491943359375,399.9858093261719,432.60919189453125,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,ANN,SYG1_10LBQ10CP102,1号高加入口抽汽压力,MPa,Y2_一级抽汽接口,0.9890521168708801,0.17784832875013754,0.13676303625106812,3.405029296875,10.9947509765625,3.405028820037842,10.9947509765625,3.263770580291748,10.955289840698242,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,GRU-RNN,SYG1_10LBQ10CP102,1号高加入口抽汽压力,MPa,Y2_一级抽汽接口,0.9967603087425232,0.0967469559355105,0.07010824233293533,3.405029296875,10.9947509765625,3.405028820037842,10.9947509765625,3.3910508155822754,11.117908477783203,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,TCN,SYG1_10LBQ10CP102,1号高加入口抽汽压力,MPa,Y2_一级抽汽接口,0.9937059283256531,0.13484992970111884,0.09979435056447983,3.405029296875,10.9947509765625,3.405028820037842,10.9947509765625,3.276677131652832,11.066205978393555,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,iTransformer-small,SYG1_10LBQ10CP102,1号高加入口抽汽压力,MPa,Y2_一级抽汽接口,0.9930338859558105,0.14186633119272704,0.10796995460987091,3.405029296875,10.9947509765625,3.405028820037842,10.9947509765625,3.192824363708496,10.853933334350586,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,ANN,SYG1_10LBQ10CT106,1号高加入口抽汽温度,℃,Y2_一级抽汽接口,0.9167096018791199,1.3009456496266363,0.9544973373413086,397.59814453125,436.3515930175781,397.59814453125,436.3515930175781,404.4482116699219,428.6847229003906,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,GRU-RNN,SYG1_10LBQ10CT106,1号高加入口抽汽温度,℃,Y2_一级抽汽接口,0.9770416617393494,0.6830176405380936,0.5059062838554382,397.59814453125,436.3515930175781,397.59814453125,436.3515930175781,399.8603515625,433.0495910644531,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,TCN,SYG1_10LBQ10CT106,1号高加入口抽汽温度,℃,Y2_一级抽汽接口,0.9635604023933411,0.8604949935532491,0.6683852672576904,397.59814453125,436.3515930175781,397.59814453125,436.3515930175781,400.43096923828125,432.0849304199219,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,iTransformer-small,SYG1_10LBQ10CT106,1号高加入口抽汽温度,℃,Y2_一级抽汽接口,0.94408118724823,1.0659592917973482,0.8185977339744568,397.59814453125,436.3515930175781,397.59814453125,436.3515930175781,399.4642028808594,431.4571228027344,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,ANN,SYG1_10LBC20CT101,一次低温再热逆止阀前母管管底温度,℃,Y3_VHP至RH1接口,0.9221513271331787,1.2956345382170038,0.9538692235946655,400.6988830566406,439.14642333984375,400.6988830566406,439.14642333984375,405.7347717285156,431.8912353515625,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,GRU-RNN,SYG1_10LBC20CT101,一次低温再热逆止阀前母管管底温度,℃,Y3_VHP至RH1接口,0.9794667959213257,0.6654032691613263,0.49502724409103394,400.6988830566406,439.14642333984375,400.6988830566406,439.14642333984375,402.7724914550781,436.28009033203125,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,TCN,SYG1_10LBC20CT101,一次低温再热逆止阀前母管管底温度,℃,Y3_VHP至RH1接口,0.9684247970581055,0.8251439185756975,0.6312723755836487,400.6988830566406,439.14642333984375,400.6988830566406,439.14642333984375,403.4446105957031,434.89501953125,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,iTransformer-small,SYG1_10LBC20CT101,一次低温再热逆止阀前母管管底温度,℃,Y3_VHP至RH1接口,0.9509077668190002,1.0288765499662706,0.7856511473655701,400.6988830566406,439.14642333984375,400.6988830566406,439.14642333984375,402.185546875,434.692138671875,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,ANN,SYG1_10LBC20CT103,一次低温再热逆止阀后水平管管顶温度,℃,Y3_VHP至RH1接口,0.9167048931121826,1.3515587514483558,0.9792124032974243,399.53912353515625,438.4256591796875,399.53912353515625,438.4256591796875,405.17816162109375,430.1479797363281,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,GRU-RNN,SYG1_10LBC20CT103,一次低温再热逆止阀后水平管管顶温度,℃,Y3_VHP至RH1接口,0.9772051572799683,0.7070388582779199,0.5291107296943665,399.53912353515625,438.4256591796875,399.53912353515625,438.4256591796875,401.9064025878906,435.302978515625,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
