device,stage,model,graph,seed,label_fraction,shuffle_labels,hidden,head_hidden,dropout,learning_rate,finetune_encoder,test,best_val_macro_f1,best_epoch,pretrain_val_mse,accuracy,macro_precision,macro_recall,macro_f1
H4,final,GCN-NodeAware,Corr,101,1,False,32,96,0.05,0.0015,False,weak,0.9704157786424684,13,0.5090950131416321,0.4618055555555556,0.6910626987385535,0.4618055555555556,0.4359639538567966
H4,final,GCN-NodeAware,Corr,123,1,False,32,96,0.05,0.0015,False,iid,0.9756918068366792,13,0.4387626945972442,0.9670138888888888,0.9675113179074448,0.9670138888888888,0.9671033924995192
H4,final,GCN-NodeAware,Corr,123,1,False,32,96,0.05,0.0015,False,ood_profile,0.9756918068366792,13,0.4387626945972442,0.890625,0.9048471933002143,0.890625,0.8906830336723801
H4,final,GCN-NodeAware,Corr,123,1,False,32,96,0.05,0.0015,False,weak,0.9756918068366792,13,0.4387626945972442,0.4079861111111111,0.6989045957914234,0.4079861111111111,0.3689380726712428
H4,final,GCN-NodeAware,Corr,202,1,False,32,96,0.05,0.0015,False,iid,0.9773914012515726,15,0.4486710429191589,0.9791666666666666,0.9791884392351062,0.9791666666666666,0.979154023658334
H4,final,GCN-NodeAware,Corr,202,1,False,32,96,0.05,0.0015,False,ood_profile,0.9773914012515726,15,0.4486710429191589,0.9201388888888888,0.9297252207091544,0.9201388888888888,0.9213154462240228
H4,final,GCN-NodeAware,Corr,202,1,False,32,96,0.05,0.0015,False,weak,0.9773914012515726,15,0.4486710429191589,0.4184027777777778,0.7494671876818059,0.4184027777777778,0.3841742030982157
H4,final,GCN-NodeAware,Identity,101,1,False,32,96,0.05,0.0015,False,iid,0.9669597697133624,15,0.5078622698783875,0.9756944444444444,0.9758871241168732,0.9756944444444444,0.9757037083681804
H4,final,GCN-NodeAware,Identity,101,1,False,32,96,0.05,0.0015,False,ood_profile,0.9669597697133624,15,0.5078622698783875,0.8975694444444444,0.911876957306746,0.8975694444444445,0.8984375896152937
H4,final,GCN-NodeAware,Identity,101,1,False,32,96,0.05,0.0015,False,weak,0.9669597697133624,15,0.5078622698783875,0.4375,0.7253619466754035,0.4375,0.4081641323712392
H4,final,GCN-NodeAware,Identity,123,1,False,32,96,0.05,0.0015,False,iid,0.9773989050346936,12,0.4382599890232086,0.9618055555555556,0.9631473778395856,0.9618055555555556,0.962034755280987
H4,final,GCN-NodeAware,Identity,123,1,False,32,96,0.05,0.0015,False,ood_profile,0.9773989050346936,12,0.4382599890232086,0.8871527777777778,0.9005827051525632,0.8871527777777779,0.8871888275430859
H4,final,GCN-NodeAware,Identity,123,1,False,32,96,0.05,0.0015,False,weak,0.9773989050346936,12,0.4382599890232086,0.3975694444444444,0.678917621500403,0.3975694444444445,0.3549557704554027
H4,final,GCN-NodeAware,Identity,202,1,False,32,96,0.05,0.0015,False,iid,0.9756322506364604,8,0.4466840922832489,0.9670138888888888,0.9675818103582564,0.9670138888888888,0.9671575475078134
H4,final,GCN-NodeAware,Identity,202,1,False,32,96,0.05,0.0015,False,ood_profile,0.9756322506364604,8,0.4466840922832489,0.9027777777777778,0.9144754394224732,0.9027777777777778,0.904219929548728
H4,final,GCN-NodeAware,Identity,202,1,False,32,96,0.05,0.0015,False,weak,0.9756322506364604,8,0.4466840922832489,0.3871527777777778,0.694221236253128,0.3871527777777778,0.3429211153433043
H4,final,GCN-NodeAware,KG,101,1,False,32,96,0.05,0.0015,False,iid,0.9686790522354448,13,0.50564044713974,0.9513888888888888,0.953359826144048,0.951388888888889,0.9515370791452864
H4,final,GCN-NodeAware,KG,101,1,False,32,96,0.05,0.0015,False,ood_profile,0.9686790522354448,13,0.50564044713974,0.8958333333333334,0.9029700803804293,0.8958333333333333,0.895519283832833
H4,final,GCN-NodeAware,KG,101,1,False,32,96,0.05,0.0015,False,weak,0.9686790522354448,13,0.50564044713974,0.4513888888888889,0.6732483630495952,0.4513888888888889,0.423565608464684
H4,final,GCN-NodeAware,KG,123,1,False,32,96,0.05,0.0015,False,iid,0.9756472185926188,12,0.4376595616340637,0.9618055555555556,0.9630747658935536,0.9618055555555556,0.9620610549886124
H4,final,GCN-NodeAware,KG,123,1,False,32,96,0.05,0.0015,False,ood_profile,0.9756472185926188,12,0.4376595616340637,0.8871527777777778,0.9020090248863836,0.8871527777777777,0.8867237026664567
H4,final,GCN-NodeAware,KG,123,1,False,32,96,0.05,0.0015,False,weak,0.9756472185926188,12,0.4376595616340637,0.40625,0.6914328408230848,0.40625,0.3670153301945275
H4,final,GCN-NodeAware,KG,202,1,False,32,96,0.05,0.0015,False,iid,0.9773679110899608,9,0.4468522071838379,0.9670138888888888,0.9676288323548596,0.967013888888889,0.9671141793288468
H4,final,GCN-NodeAware,KG,202,1,False,32,96,0.05,0.0015,False,ood_profile,0.9773679110899608,9,0.4468522071838379,0.9305555555555556,0.9340337947909162,0.9305555555555556,0.931039282136226
H4,final,GCN-NodeAware,KG,202,1,False,32,96,0.05,0.0015,False,weak,0.9773679110899608,9,0.4468522071838379,0.4236111111111111,0.7098167948068173,0.4236111111111111,0.3938729523795109
L6,final,AE,KG,101,1,False,32,96,0.05,0.0015,False,iid,0.9687967719147,42,0.2917402684688568,0.9548611111111112,0.955827180474671,0.9548611111111112,0.9549730555624684
L6,final,AE,KG,101,1,False,32,96,0.05,0.0015,False,ood_profile,0.9687967719147,42,0.2917402684688568,0.9270833333333334,0.9330723198370257,0.9270833333333331,0.9280874769239742
